1, 1.3765230178833008
2, 1.1135680675506592
3, 1.3420217037200928
4, 1.4856057167053223
5, 1.6830499172210693
6, 1.8441388607025146
7, 2.0539958477020264
8, 2.186048984527588
9, 2.4720261096954346
10, 2.7790729999542236
11, 2.82307505607605
12, 2.8871161937713623
13, 3.073352813720703
14, 3.277789831161499
15, 3.560991048812866
16, 3.7825000286102295
17, 3.7269182205200195
18, 4.014388084411621
19, 4.294450998306274
20, 4.895995855331421
21, 5.134912014007568
22, 5.1765100955963135
23, 4.975778102874756
24, 5.608221054077148
